




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Stone Church                  1150                          642                           55.83%
University                    704                           334                           47.44%
Morrison                      1329                          592                           44.54%
Abel                          938                           370                           39.45%
Calhoun                       1161                          432                           37.21%
Clemson                       1766                          989                           56.00%
Issaqueena                    783                           423                           54.02%
West Central                  983                           298                           30.32%
North Central                 1014                          532                           52.47%
Pike                          963                           513                           53.27%
Lawrence Chapel               1190                          666                           55.97%
Norris                        1102                          582                           52.81%
Six Mile                      1346                          738                           54.83%
Six Mile Mountain             1411                          748                           53.01%
Praters Creek                 847                           444                           52.42%
Mountain View                 1505                          666                           44.25%
Albert R. Lewis               1207                          646                           53.52%
Holly Springs                 1459                          768                           52.64%
Pumpkintown                   1402                          809                           57.70%
Griffin                       1382                          779                           56.37%
North Pickens                 1258                          610                           48.49%
West Pickens                  1279                          619                           48.40%
South Pickens                 1097                          485                           44.21%
East Pickens                  1174                          616                           52.47%
Glassy Mountain               1173                          559                           47.66%
Cedar Rock                    1196                          616                           51.51%
Skelton                       1084                          571                           52.68%
Rices Creek                   1181                          592                           50.13%
West Liberty                  1192                          628                           52.68%
East Liberty                  1081                          526                           48.66%
Flat Rock                     1202                          628                           52.25%
Zion                          1133                          528                           46.60%
Smith Grove                   889                           371                           41.73%
Arial Mill                    996                           452                           45.38%
Simpson                       1100                          386                           35.09%
Woodside                      1443                          673                           46.64%
Brushy Creek                  1572                          814                           51.78%
Pickensville                  1028                          502                           48.83%
Easley                        1178                          519                           44.06%
Forest Acres                  991                           542                           54.69%
Crestview                     1165                          656                           56.31%
Sitton                        1344                          752                           55.95%
Rock Springs                  1286                          643                           50.00%
Saluda                        1112                          539                           48.47%
Crosswell                     1386                          679                           48.99%
Georges Creek                 1025                          572                           55.80%
McKissick                     1223                          579                           47.34%
Vinland                       1013                          497                           49.06%
Crossroads                    1220                          507                           41.56%
Dacusville                    1034                          384                           37.14%
Nine Forks                    1174                          566                           48.21%
South Central                 1104                          451                           40.85%
Crescent Hill                 1244                          585                           47.03%
North Liberty                 1083                          480                           44.32%
Pendleton                     986                           462                           46.86%
Fruit Mountain                868                           348                           40.09%
Pope Field                    939                           421                           44.83%
Sheffield                     1340                          738                           55.07%
Tri County                    550                           326                           59.27%
McAllister                    1138                          517                           45.43%
Lenhart                       1019                          446                           43.77%
Absentee                      0                             3786                          0.00%
Emergency                     0                             708                           0.00%
Failsafe                      0                             60                            0.00%
Provisional                   0                             68                            0.00%
Failsafe Provisional          0                             36                            0.00%
Total:                        70142                         39014                         55.62%

                                                                                                                                                                                                     STRAIGHT PARTY (Vote For 1)
                                                            Democratic                                                  Working Families                                            United Citizens                                             Green                                                       Republican                                                  American                                                    
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
Absentee                      0                             167                           167                           70                            70                            9                             9                             246                           
Emergency                     0                             0                             0                             0                             0                             0                             0                             0                             
Failsafe                      0                             2                             2                             1                             1                             0                             0                             3                             
Provisional                   0                             4                             4                             3                             3                             0                             0                             7                             
Totals:                       9172                          2194                          2194                          976                           976                           47                            47                            3217                          

                                                                                                           School Trustee District 4 (Vote For 1)
                                                            Donald J Joslyn                                             Brian D Swords                                              Write-In                                                    
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
Norris                        1102                          53                            53                            316                           316                           1                             1                             370                           
Rices Creek                   1181                          78                            78                            329                           329                           4                             4                             411                           
West Liberty                  1192                          79                            79                            396                           396                           1                             1                             476                           
East Liberty                  1081                          73                            73                            287                           287                           2                             2                             362                           
Flat Rock                     1202                          86                            86                            321                           321                           2                             2                             409                           
Smith Grove                   889                           52                            52                            145                           145                           3                             3                             200                           
Arial Mill                    996                           72                            72                            177                           177                           5                             5                             254                           
North Liberty                 1083                          75                            75                            259                           259                           2                             2                             336                           
Pendleton                     986                           70                            70                            217                           217                           2                             2                             289                           
Absentee                      0                             49                            49                            145                           145                           2                             2                             196                           
Emergency                     0                             27                            27                            41                            41                            1                             1                             69                            
Failsafe                      0                             0                             0                             7                             7                             0                             0                             7                             
Provisional                   0                             2                             2                             5                             5                             0                             0                             7                             
Totals:                       9712                          716                           716                           2645                          2645                          25                            25                            3386                          

                                                                             School Trustee District 6 (Vote For 1)
                                                            Karla Kelley                                                Write-In                                                    
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
Easley                        1178                          274                           274                           3                             3                             277                           
Sitton                        1344                          418                           418                           9                             9                             427                           
Rock Springs                  1286                          346                           346                           6                             6                             352                           
Saluda                        1112                          273                           273                           7                             7                             280                           
Crosswell                     1386                          347                           347                           5                             5                             352                           
Georges Creek                 1025                          330                           330                           5                             5                             335                           
McKissick                     1223                          347                           347                           5                             5                             352                           
Tri County                    550                           183                           183                           5                             5                             188                           
McAllister                    1138                          266                           266                           2                             2                             268                           
Lenhart                       1019                          238                           238                           1                             1                             239                           
Absentee                      0                             250                           250                           8                             8                             258                           
Emergency                     0                             47                            47                            1                             1                             48                            
Failsafe                      0                             4                             4                             0                             0                             4                             
Provisional                   0                             6                             6                             0                             0                             6                             
Totals:                       11261                         3329                          3329                          57                            57                            3386                          

                                                                                                           School Trustee District 7 (Vote For 1)
                                                            Philip Healy                                                Alice Hendricks Vander Linden                               Write-In                                                    
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
Pumpkintown                   1402                          221                           221                           227                           227                           3                             3                             451                           
Griffin                       1382                          243                           243                           209                           209                           2                             2                             454                           
Glassy Mountain               1173                          145                           145                           142                           142                           6                             6                             293                           
Cedar Rock                    1196                          160                           160                           216                           216                           5                             5                             381                           
Vinland                       1013                          126                           126                           130                           130                           3                             3                             259                           
Crossroads                    1220                          149                           149                           139                           139                           7                             7                             295                           
Dacusville                    1034                          98                            98                            117                           117                           2                             2                             217                           
Nine Forks                    1174                          186                           186                           152                           152                           6                             6                             344                           
Crescent Hill                 1244                          160                           160                           154                           154                           5                             5                             319                           
Absentee                      0                             164                           164                           145                           145                           0                             0                             309                           
Emergency                     0                             65                            65                            69                            69                            0                             0                             134                           
Failsafe                      0                             5                             5                             1                             1                             0                             0                             6                             
Provisional                   0                             1                             1                             0                             0                             0                             0                             1                             
Totals:                       10838                         1723                          1723                          1701                          1701                          39                            39                            3463                          

                                                                                                                                         Brushy Creek Watershed (Vote For 3)
                                                            Cindy Prendergast                                           Richard T Tripp                                             Ben Wigington                                               Write-In                                                    
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
Cedar Rock                    1196                          3                             3                             5                             5                             4                             4                             0                             0                             12                            
Zion                          1133                          0                             0                             0                             0                             0                             0                             0                             0                             0                             
Brushy Creek                  1572                          105                           105                           78                            78                            84                            84                            5                             5                             272                           
Crestview                     1165                          16                            16                            18                            18                            14                            14                            0                             0                             48                            
Sitton                        1344                          2                             2                             3                             3                             5                             5                             1                             1                             11                            
Rock Springs                  1286                          5                             5                             5                             5                             8                             8                             0                             0                             18                            
Pope Field                    939                           25                            25                            16                            16                            15                            15                            0                             0                             56                            
Sheffield                     1340                          2                             2                             1                             1                             3                             3                             0                             0                             6                             
Tri County                    550                           71                            71                            65                            65                            55                            55                            2                             2                             193                           
McAllister                    1138                          5                             5                             9                             9                             5                             5                             0                             0                             19                            
Absentee                      0                             14                            14                            15                            15                            16                            16                            3                             3                             48                            
Emergency                     0                             2                             2                             6                             6                             1                             1                             0                             0                             9                             
Failsafe                      0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Provisional                   0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Totals:                       11663                         250                           250                           221                           221                           210                           210                           11                            11                            692                           

                                                                                                           George's Creek Watershed (Vote For 2)
                                                            Eddie Crittendon                                            Steve P Pace                                                Write-In                                                    
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
Glassy Mountain               1173                          5                             5                             10                            10                            0                             0                             15                            
Cedar Rock                    1196                          141                           141                           164                           164                           9                             9                             314                           
Arial Mill                    996                           48                            48                            63                            63                            0                             0                             111                           
Easley                        1178                          24                            24                            40                            40                            0                             0                             64                            
Sitton                        1344                          1                             1                             0                             0                             0                             0                             1                             
Rock Springs                  1286                          81                            81                            113                           113                           3                             3                             197                           
Saluda                        1112                          111                           111                           109                           109                           7                             7                             227                           
Crosswell                     1386                          140                           140                           202                           202                           9                             9                             351                           
Georges Creek                 1025                          185                           185                           229                           229                           13                            13                            427                           
McKissick                     1223                          43                            43                            51                            51                            1                             1                             95                            
Vinland                       1013                          87                            87                            115                           115                           4                             4                             206                           
Crossroads                    1220                          18                            18                            37                            37                            1                             1                             56                            
Dacusville                    1034                          0                             0                             4                             4                             0                             0                             4                             
Tri County                    550                           2                             2                             0                             0                             0                             0                             2                             
Lenhart                       1019                          116                           116                           110                           110                           3                             3                             229                           
Absentee                      0                             96                            96                            83                            83                            1                             1                             180                           
Emergency                     0                             28                            28                            65                            65                            3                             3                             96                            
Failsafe                      0                             0                             0                             2                             2                             1                             1                             3                             
Provisional                   0                             1                             1                             0                             0                             0                             0                             1                             
Totals:                       16755                         1127                          1127                          1397                          1397                          55                            55                            2579                          

                                                                             Oolenoy River Watershed (Vote For 3)
                                                            Jeff White                                                  Write-In                                                    
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
Holly Springs                 1459                          127                           127                           14                            14                            141                           
Pumpkintown                   1402                          388                           388                           115                           115                           503                           
Griffin                       1382                          18                            18                            0                             0                             18                            
Nine Forks                    1174                          38                            38                            4                             4                             42                            
Absentee                      0                             77                            77                            14                            14                            91                            
Emergency                     0                             6                             6                             3                             3                             9                             
Failsafe                      0                             1                             1                             0                             0                             1                             
Provisional                   0                             0                             0                             0                             0                             0                             
Totals:                       5417                          655                           655                           150                           150                           805                           

                                                                                                           Three & Twenty Watershed (Vote For 2)
                                                            Dennis Claramunt                                            Randy Griffis                                               Write-In                                                    
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
Flat Rock                     1202                          72                            72                            100                           100                           3                             3                             175                           
Zion                          1133                          0                             0                             0                             0                             1                             1                             1                             
Smith Grove                   889                           0                             0                             0                             0                             0                             0                             0                             
South Central                 1104                          1                             1                             0                             0                             0                             0                             1                             
Pendleton                     986                           111                           111                           161                           161                           2                             2                             274                           
Pope Field                    939                           0                             0                             0                             0                             0                             0                             0                             
Absentee                      0                             16                            16                            30                            30                            0                             0                             46                            
Emergency                     0                             14                            14                            23                            23                            0                             0                             37                            
Failsafe                      0                             0                             0                             0                             0                             0                             0                             0                             
Provisional                   0                             1                             1                             0                             0                             0                             0                             1                             
Totals:                       6253                          215                           215                           314                           314                           6                             6                             535                           

                                                                             Statewide Constitutional Amendment 1 (Vote For 1)
                                                            Yes                                                         No                                                          
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
Stone Church                  1150                          212                           212                           394                           394                           606                           
University                    704                           136                           136                           181                           181                           317                           
Morrison                      1329                          197                           197                           366                           366                           563                           
Abel                          938                           119                           119                           227                           227                           346                           
Calhoun                       1161                          148                           148                           272                           272                           420                           
Clemson                       1766                          373                           373                           556                           556                           929                           
Issaqueena                    783                           157                           157                           252                           252                           409                           
West Central                  983                           109                           109                           183                           183                           292                           
North Central                 1014                          200                           200                           319                           319                           519                           
Pike                          963                           178                           178                           325                           325                           503                           
Lawrence Chapel               1190                          220                           220                           432                           432                           652                           
Norris                        1102                          194                           194                           372                           372                           566                           
Six Mile                      1346                          219                           219                           506                           506                           725                           
Six Mile Mountain             1411                          252                           252                           479                           479                           731                           
Praters Creek                 847                           127                           127                           290                           290                           417                           
Mountain View                 1505                          286                           286                           338                           338                           624                           
Albert R. Lewis               1207                          212                           212                           396                           396                           608                           
Holly Springs                 1459                          303                           303                           441                           441                           744                           
Pumpkintown                   1402                          287                           287                           506                           506                           793                           
Griffin                       1382                          261                           261                           498                           498                           759                           
North Pickens                 1258                          192                           192                           381                           381                           573                           
West Pickens                  1279                          198                           198                           396                           396                           594                           
South Pickens                 1097                          151                           151                           303                           303                           454                           
East Pickens                  1174                          218                           218                           350                           350                           568                           
Glassy Mountain               1173                          163                           163                           381                           381                           544                           
Cedar Rock                    1196                          214                           214                           389                           389                           603                           
Skelton                       1084                          217                           217                           323                           323                           540                           
Rices Creek                   1181                          234                           234                           343                           343                           577                           
West Liberty                  1192                          191                           191                           431                           431                           622                           
East Liberty                  1081                          153                           153                           365                           365                           518                           
Flat Rock                     1202                          222                           222                           397                           397                           619                           
Zion                          1133                          214                           214                           283                           283                           497                           
Smith Grove                   889                           139                           139                           222                           222                           361                           
Arial Mill                    996                           175                           175                           273                           273                           448                           
Simpson                       1100                          107                           107                           239                           239                           346                           
Woodside                      1443                          213                           213                           417                           417                           630                           
Brushy Creek                  1572                          281                           281                           495                           495                           776                           
Pickensville                  1028                          181                           181                           295                           295                           476                           
Easley                        1178                          226                           226                           267                           267                           493                           
Forest Acres                  991                           187                           187                           317                           317                           504                           
Crestview                     1165                          263                           263                           370                           370                           633                           
Sitton                        1344                          285                           285                           421                           421                           706                           
Rock Springs                  1286                          224                           224                           396                           396                           620                           
Saluda                        1112                          222                           222                           298                           298                           520                           
Crosswell                     1386                          271                           271                           392                           392                           663                           
Georges Creek                 1025                          219                           219                           340                           340                           559                           
McKissick                     1223                          207                           207                           340                           340                           547                           
Vinland                       1013                          170                           170                           313                           313                           483                           
Crossroads                    1220                          198                           198                           299                           299                           497                           
Dacusville                    1034                          132                           132                           242                           242                           374                           
Nine Forks                    1174                          225                           225                           330                           330                           555                           
South Central                 1104                          151                           151                           294                           294                           445                           
Crescent Hill                 1244                          202                           202                           371                           371                           573                           
North Liberty                 1083                          171                           171                           299                           299                           470                           
Pendleton                     986                           162                           162                           294                           294                           456                           
Fruit Mountain                868                           119                           119                           205                           205                           324                           
Pope Field                    939                           149                           149                           252                           252                           401                           
Sheffield                     1340                          287                           287                           419                           419                           706                           
Tri County                    550                           111                           111                           204                           204                           315                           
McAllister                    1138                          211                           211                           275                           275                           486                           
