




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
ANTIOCH                       1851                          1274                          68.83%
AUBURN                        729                           481                           65.98%
BETHEL                        756                           520                           68.78%
BLACK CREEK-CLYDE             1271                          885                           69.63%
BURNT BRANCH                  772                           561                           72.67%
Darlington No. 1              407                           231                           56.76%
Darlington No. 2              1679                          1045                          62.24%
Darlington No. 4              1623                          1056                          65.06%
Darlington No. 5              1949                          1215                          62.34%
DOVESVILLE                    1630                          1139                          69.88%
Hartsville No. 1              1346                          981                           72.88%
Hartsville No. 4              1051                          590                           56.14%
Hartsville No. 5              2554                          1746                          68.36%
Hartsville No. 6              1755                          1032                          58.80%
Hartsville No. 7              1197                          684                           57.14%
Hartsville No. 8              2831                          2069                          73.08%
HIGH HILL                     2844                          1870                          65.75%
INDIAN BRANCH                 661                           473                           71.56%
KELLEYTOWN                    1972                          1476                          74.85%
LAKE SWAMP                    1405                          994                           70.75%
Lamar No. 1                   892                           625                           70.07%
Lamar No. 2                   1625                          1149                          70.71%
LYDIA                         750                           500                           66.67%
MECHANICSVILLE                1858                          1268                          68.25%
NEW MARKET                    1097                          776                           70.74%
OATES                         1023                          759                           74.19%
PALMETTO                      2051                          1440                          70.21%
SOCIETY HILL                  816                           552                           67.65%
SWIFT CREEK                   994                           677                           68.11%
Darlington No. 3              2975                          2155                          72.44%
Darlington No. 6              1811                          1192                          65.82%
Hartsville No. 9              1859                          1228                          66.06%
Failsafe                      0                             0                             0.00%
Provisional                   0                             39                            0.00%
Failsafe Provisional          0                             7                             0.00%
Total:                        48034                         32689                         68.05%

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       STRAIGHT PARTY 1 (Vote For 1)
                                                            Constitution                                                                                                                                                                                                      Green                                                                                                                                                                                                             Republican                                                                                                                                                                                                        Alliance                                                                                                                                                                                                          Libertarian                                                                                                                                                                                                       Democratic                                                                                                                                                                                                        
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
Lamar No. 2                   1625                          545                           218                           44                            0                             0                             0                             807                           8                             3                             2                             0                             0                             0                             13                            820                           
LYDIA                         750                           202                           73                            12                            0                             0                             0                             287                           5                             0                             0                             0                             0                             0                             5                             292                           
MECHANICSVILLE                1858                          354                           355                           69                            0                             0                             0                             778                           11                            11                            2                             0                             0                             0                             24                            802                           
NEW MARKET                    1097                          489                           192                           32                            0                             0                             0                             713                           0                             2                             1                             0                             0                             0                             3                             716                           
OATES                         1023                          359                           166                           39                            0                             0                             0                             564                           1                             1                             2                             0                             0                             0                             4                             568                           
PALMETTO                      2051                          368                           448                           82                            0                             0                             0                             898                           7                             16                            4                             0                             0                             0                             27                            925                           
SOCIETY HILL                  816                           173                           67                            36                            0                             0                             0                             276                           2                             6                             3                             0                             0                             0                             11                            287                           
SWIFT CREEK                   994                           308                           183                           28                            0                             0                             0                             519                           1                             5                             0                             0                             0                             0                             6                             525                           
Darlington No. 3              2975                          531                           957                           120                           0                             0                             0                             1608                          5                             18                            7                             0                             0                             0                             30                            1638                          
Darlington No. 6              1811                          351                           400                           63                            0                             0                             0                             814                           5                             12                            2                             0                             0                             0                             19                            833                           
Hartsville No. 9              1859                          446                           336                           69                            0                             0                             0                             851                           5                             4                             1                             0                             0                             0                             10                            861                           
Failsafe                      0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Provisional                   0                             0                             0                             0                             0                             28                            0                             28                            0                             0                             0                             0                             1                             0                             1                             29                            
Failsafe Provisional          0                             0                             0                             0                             0                             0                             5                             5                             0                             0                             0                             0                             0                             1                             1                             6                             
Totals:                       48034                         10706                         9043                          1769                          0                             28                            5                             21551                         154                           206                           50                            0                             1                             1                             412                           21963                         

                                                                                                                                                                                                                                   County Council District 1 (Vote For 1)
                                                            REP Angie Stone Godbold                                                                                                                                                                                           Write-In                                                                                                                                                                                                          
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
Darlington No. 1              407                           55                            74                            8                             0                             0                             0                             137                           1                             2                             2                             0                             0                             0                             5                             142                           
Darlington No. 4              1623                          81                            234                           21                            0                             0                             0                             336                           0                             3                             1                             0                             0                             0                             4                             340                           
PALMETTO                      2051                          194                           170                           26                            0                             0                             0                             390                           2                             5                             1                             0                             0                             0                             8                             398                           
Darlington No. 3              2975                          454                           807                           112                           0                             0                             0                             1373                          7                             14                            3                             0                             0                             0                             24                            1397                          
Darlington No. 6              1811                          294                           313                           53                            0                             0                             0                             660                           5                             15                            1                             0                             0                             0                             21                            681                           
Failsafe                      0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Provisional                   0                             0                             0                             0                             0                             2                             0                             2                             0                             0                             0                             0                             0                             0                             0                             2                             
Failsafe Provisional          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Totals:                       8867                          1078                          1598                          220                           0                             2                             0                             2898                          15                            39                            8                             0                             0                             0                             62                            2960                          

                                                                                                                                                                                                                                   County Council District 3 (Vote For 1)
                                                            DEM Joyce Wingate Thomas                                                                                                                                                                                          Write-In                                                                                                                                                                                                          
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
Darlington No. 2              1679                          258                           430                           106                           0                             0                             0                             794                           2                             4                             2                             0                             0                             0                             8                             802                           
Darlington No. 4              1623                          162                           313                           104                           0                             0                             0                             579                           1                             4                             1                             0                             0                             0                             6                             585                           
Darlington No. 5              1949                          290                           598                           184                           0                             0                             0                             1072                          1                             1                             0                             0                             0                             0                             2                             1074                          
HIGH HILL                     2844                          34                            56                            10                            0                             0                             0                             100                           2                             2                             0                             0                             0                             0                             4                             104                           
PALMETTO                      2051                          155                           328                           86                            0                             0                             0                             569                           7                             7                             0                             0                             0                             0                             14                            583                           
Failsafe                      0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Provisional                   0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Failsafe Provisional          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Totals:                       10146                         899                           1725                          490                           0                             0                             0                             3114                          13                            18                            3                             0                             0                             0                             34                            3148                          

                                                                                                                                                                                                                                   County Council District 5 (Vote For 1)
                                                            REP Le Flowers                                                                                                                                                                                                    Write-In                                                                                                                                                                                                          
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
BETHEL                        756                           174                           112                           18                            0                             0                             0                             304                           0                             2                             0                             0                             0                             0                             2                             306                           
Hartsville No. 4              1051                          87                            65                            9                             0                             0                             0                             161                           6                             0                             0                             0                             0                             0                             6                             167                           
Hartsville No. 7              1197                          68                            78                            16                            0                             0                             0                             162                           0                             0                             0                             0                             0                             0                             0                             162                           
HIGH HILL                     2844                          545                           510                           63                            0                             0                             0                             1118                          14                            10                            3                             0                             0                             0                             27                            1145                          
INDIAN BRANCH                 661                           237                           120                           22                            0                             0                             0                             379                           4                             1                             1                             0                             0                             0                             6                             385                           
SWIFT CREEK                   994                           311                           181                           27                            0                             0                             0                             519                           2                             3                             0                             0                             0                             0                             5                             524                           
Darlington No. 6              1811                          60                            79                            13                            0                             0                             0                             152                           0                             1                             0                             0                             0                             0                             1                             153                           
Failsafe                      0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Provisional                   0                             0                             0                             0                             0                             7                             0                             7                             0                             0                             0                             0                             1                             0                             1                             8                             
Failsafe Provisional          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Totals:                       9314                          1482                          1145                          168                           0                             7                             0                             2802                          26                            17                            4                             0                             1                             0                             48                            2850                          

                                                                                                                                                                                                                                   County Council District 7 (Vote For 1)
                                                            REP Lewis Brown                                                                                                                                                                                                   Write-In                                                                                                                                                                                                          
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
BLACK CREEK-CLYDE             1271                          499                           202                           37                            0                             0                             0                             738                           4                             2                             1                             0                             0                             0                             7                             745                           
BURNT BRANCH                  772                           47                            32                            5                             0                             0                             0                             84                            2                             1                             1                             0                             0                             0                             4                             88                            
Hartsville No. 1              1346                          346                           369                           100                           0                             0                             0                             815                           2                             7                             4                             0                             0                             0                             13                            828                           
Hartsville No. 5              2554                          350                           449                           129                           0                             0                             0                             928                           4                             7                             2                             0                             0                             0                             13                            941                           
KELLEYTOWN                    1972                          589                           571                           151                           0                             0                             0                             1311                          3                             7                             0                             0                             0                             0                             10                            1321                          
NEW MARKET                    1097                          73                            22                            6                             0                             0                             0                             101                           0                             0                             0                             0                             0                             0                             0                             101                           
Failsafe                      0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Provisional                   0                             0                             0                             0                             0                             4                             0                             4                             0                             0                             0                             0                             0                             0                             0                             4                             
Failsafe Provisional          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Totals:                       9012                          1904                          1645                          428                           0                             4                             0                             3981                          15                            24                            8                             0                             0                             0                             47                            4028                          

                                                                                                                                                                                                                                   Soil and Water District Commission (Vote For 1)
                                                            Thomas G Chaplin                                                                                                                                                                                                  Write-In                                                                                                                                                                                                          
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
ANTIOCH                       1851                          350                           209                           62                            0                             0                             0                             621                           6                             2                             1                             0                             0                             0                             9                             630                           
AUBURN                        729                           93                            60                            19                            0                             0                             0                             172                           8                             1                             0                             0                             0                             0                             9                             181                           
BETHEL                        756                           149                           79                            14                            0                             0                             0                             242                           3                             0                             0                             0                             0                             0                             3                             245                           
BLACK CREEK-CLYDE             1271                          289                           119                           38                            0                             0                             0                             446                           3                             0                             0                             0                             0                             0                             3                             449                           
BURNT BRANCH                  772                           155                           121                           15                            0                             0                             0                             291                           1                             4                             0                             0                             0                             0                             5                             296                           
Darlington No. 1              407                           45                            57                            9                             0                             0                             0                             111                           0                             0                             0                             0                             0                             0                             0                             111                           
Darlington No. 2              1679                          185                           160                           38                            0                             0                             0                             383                           0                             3                             0                             0                             0                             0                             3                             386                           
Darlington No. 4              1623                          144                           255                           48                            0                             0                             0                             447                           1                             4                             2                             0                             0                             0                             7                             454                           
Darlington No. 5              1949                          110                           193                           78                            0                             0                             0                             381                           2                             6                             0                             0                             0                             0                             8                             389                           
DOVESVILLE                    1630                          210                           205                           48                            0                             0                             0                             463                           7                             2                             0                             0                             0                             0                             9                             472                           
Hartsville No. 1              1346                          263                           303                           91                            0                             0                             0                             657                           2                             3                             3                             0                             0                             0                             8                             665                           
Hartsville No. 4              1051                          127                           84                            14                            0                             0                             0                             225                           5                             1                             0                             0                             0                             0                             6                             231                           
Hartsville No. 5              2554                          390                           461                           142                           0                             0                             0                             993                           4                             3                             2                             0                             0                             0                             9                             1002                          
Hartsville No. 6              1755                          70                            173                           64                            0                             0                             0                             307                           1                             4                             3                             0                             0                             0                             8                             315                           
Hartsville No. 7              1197                          158                           133                           29                            0                             0                             0                             320                           0                             1                             0                             0                             0                             0                             1                             321                           
Hartsville No. 8              2831                          572                           537                           120                           0                             0                             0                             1229                          4                             5                             0                             0                             0                             0                             9                             1238                          
HIGH HILL                     2844                          382                           355                           63                            0                             0                             0                             800                           10                            7                             0                             0                             0                             0                             17                            817                           
INDIAN BRANCH                 661                           157                           76                            19                            0                             0                             0                             252                           4                             0                             0                             0                             0                             0                             4                             256                           
KELLEYTOWN                    1972                          394                           351                           93                            0                             0                             0                             838                           4                             4                             0                             0                             0                             0                             8                             846                           
LAKE SWAMP                    1405                          250                           159                           36                            0                             0                             0                             445                           2                             2                             2                             0                             0                             0                             6                             451                           
Lamar No. 1                   892                           126                           54                            26                            0                             0                             0                             206                           1                             1                             0                             0                             0                             0                             2                             208                           
Lamar No. 2                   1625                          366                           142                           46                            0                             0                             0                             554                           5                             0                             0                             0                             0                             0                             5                             559                           
